100 1124 1313.05
110 1381 1600.03
120 1734 1879.14
130 2036 2155.11
140 2396 2432.67
150 2816 2716.53
160 3079 3011.44
170 3519 3322.11
180 3875 3653.27
190 4911 4009.65
200 4681 4395.99
210 5168 4816.99
220 5531 5277.4
230 5912 5781.94
240 6275 6335.34
250 6672 6942.31
260 7028 7607.6
270 8037 8335.93
280 8441 9132.02
290 9410 10000.6
300 10544 10946.4
310 11648 11974.2
320 12748 13088.6
330 13930 14294.4
340 15454 15596.4
350 19802 16999.2
360 18119 18507.6
370 20252 20126.3
380 21579 21860
390 23379 23713.5
400 25220 25691.5
410 27723 27798.7
420 29687 30039.9
430 35407 32419.7
440 34557 34942.9
450 37198 37614.3
460 39922 40438.5
470 43296 43420.3
480 46308 46564.4
490 49607 49875.6
500 53584 53358.5
